City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,college,64.8569,-147.8028,37.35,49,40,4.61,US,1681948801
350,souillac,-20.5167,57.5167,79.18,83,40,11.5,MU,1681949099
351,worland,44.0169,-107.9554,46.67,59,0,17.0,US,1681949099
352,muros,42.7762,-9.0603,58.08,82,73,5.99,ES,1681949099
353,san andres,12.5847,-81.7006,82.42,69,20,9.22,CO,1681949099
354,dwarka,22.2394,68.9678,79.59,73,54,11.86,IN,1681949099
355,solikamsk,59.6196,56.7729,31.91,68,3,3.44,RU,1681949099
356,sladkovo,55.5284,70.3385,28.87,53,76,5.93,RU,1681949100
357,lingao,19.9103,109.6859,81.57,82,47,3.06,CN,1681949100
358,calabar,4.9517,8.322,77.29,88,100,1.86,NG,1681949100
359,serebryansk,49.6925,83.2892,9.23,96,72,2.91,KZ,1681949101
360,ambilobe,-13.2,49.05,72.16,92,97,2.55,MG,1681949101
361,bonavista,48.6499,-53.1147,32.16,92,100,14.34,CA,1681949101
362,luanda,-8.8368,13.2343,75.2,94,75,4.61,AO,1681949066
363,husavik,66.0449,-17.3389,44.02,88,59,5.91,IS,1681949102
364,orange,33.7,-117.7675,72.37,51,20,9.22,US,1681949102
365,da lat,11.9465,108.4419,67.03,78,19,1.99,VN,1681949103
366,los llanos de aridane,28.6585,-17.9182,64.15,86,100,5.75,ES,1681949103
367,xai-xai,-25.0519,33.6442,63.59,89,0,4.59,MZ,1681949103
